"";"ENQUÊTE.2017";"ENQUÊTE.2018";"ENQUÊTE.2019";"ENQUÊTE.2020";"LABELLISÉS.ECOCERT.EN.CUISINE";"ADRESSE";"CODE.POSTAL";"COMMUNE";"REGION";"TYPE.ETABLISSEMENT.(Cuisine.centrale.d'une.collectivité,.écoles,.collèges,.lycées,.Ehpad,.etc.)";"COLLECTIVITÉ.TERRITORIALE.(Oui/Non)";"TAILLE.COLLECTIVITÉS.(en.nombre.de.repas/jour)";"MODE.GESTION.RESTAURATION.COLLECTIVE.(Gestion.directe,.concédée,.mixte.ou.les.deux)";"MODE.PRODUCTION.RESTAURATION.COLLECTIVE.(Cuisine.centrale,.sur.place.ou.les.deux)";"NBR.ÉTABLISSEMENTS";"NBR.REPAS/JOUR";"lat";"long"
"SAINT COME ET MARUEJOLS";0;0;1;0;"Non";"1, place de la Mairie";"30870";"Saint-Côme et maruejols";"OCCITANIE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"2";"50";43,8294;4,2227
"SAINT VINCENT DE MERCUZE";0;0;1;0;"Non";"49 place de la mairie";"38660";"Saint Vincent de Mercuze";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"3";"106";45,3067;5,9104
"MONTBONNOT SAINT MARTIN";0;0;0;1;"Non";"allée du parc de miribel";"38330";"Montbonnot Saint Martin";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"LES DEUX";"LES DEUX";"7";"550";45,2457;5,8029
"VILLARD-BONNOT";0;0;0;1;"Non";"20 boulevard Jules Ferry";"38190";"Villard Bonnot";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DEL";"CENTRALE";"7";"640";45,2635;5,9794
"Crèche PetiBio Toulouse";0;0;0;1;"Oui";"2 Rue du parc";"31530";"LEVIGNAC";"OCCITANIE";"Cuisine centrale";"Non";"Entre 500 et 3000 repas/jour";"DEL";"CENTRALE";"22";"800";43,6635;1,204
"CAZOULS-LES-BEZIERS";0;0;0;1;"Oui";"Place des Cent Quarante";"34370";"CAZOULS LES BEZIERS";"OCCITANIE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"3";"270";43,3979;3,1029
"TRAPPES-EN-YVELINES";0;0;0;1;"Non";"7 rue Jean d'Alembert";"78190";"Trappes-en-Yvelines";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"52";"3710";48,7725;1,9906
"COMMUNAUTE DE COMMUNES MAREMNE ADOUR COTE SUD";0;0;0;1;"Non";"ALLEE DES CAMELIAS";"40230";"SAINT VINCENT DE TYROSSE";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"87";"7630";43,636;-1,3658
"LYCEE JEAN FRANCOIS MILLET";0;0;0;1;"Non";"rue de bougainville";"50130";"cherbourg en cotentin";"NORMANDIE";"Lycées";"Non";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"1";"1000";49,6387;-1,6439
"LES TAILLADES";0;0;0;1;"Oui";"vallon de la Combe";"84300";"LES TAILLADES";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"170";43,8433;5,0563
"SOLIERS";0;0;0;1;"Non";"rue du parc";"14540";"Soliers";"NORMANDIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"290";49,1314;-0,2879
"LYCEE JACOB HOLTZER";0;0;0;1;"Non";"5 RUE MICHELET";"42704";"FIRMINY";"AUVERGNE-RHONE-ALPES";"Lycées";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"220";45,3768;4,2906
"PIBRAC";0;0;0;1;"Non";"Esplanade Sainte Germaine";"31820";"PIBRAC";"OCCITANIE";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"4";"750";43,622;1,2721
"MOURENX";0;0;0;1;"Non";"Rue Adrienne Le Gal";"64150";"Mourenx";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"LES DEUX";"6";"220";43,3752;-0,6158
"SAINT VALLIER DE THIEY";0;0;0;1;"Non";"2 Place de l'Apié";"6460";"Saint Vallier de Theiy";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"5";"325";43,7381;6,9077
"MONTPELLIER";0;0;0;1;"Non";"1, Place Georges FRECHES";"34270";"Montpellier";"OCCITANIE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"DIR";"LES DEUX";"155";"15700";43,6183;3,8592
"LA TRONCHE";0;0;0;1;"Non";"74 grande rue";"38700";"La Tronche";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"5";"450";45,2282;5,7566
"LE GRAND VILLAGE PLAGE";0;0;0;1;"Non";"4 boullevard de la plage";"17370";"le grand village plage";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"60";45,8374;-1,2206
"MONTBRISON";0;0;0;1;"Non";"2 rue Michel Portier";"42600";"MONTBRISON";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"13";"770";45,6041;4,0639
"COLLEGE LA LOMBARDIERE";0;0;0;1;"Non";"rue jacques prevert";"7100";"annonay";"AUVERGNE-RHONE-ALPES";"Collèges";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"400";45,2433;4,6513
"ROUSSILLON";0;0;0;1;"Non";"2 place de la mairie";"84220";"ROUSSILLON";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"88";45,3749;4,8129
"MENERBES";0;0;0;1;"Non";"Route des écoles";"84560";"Menerbes";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"80";43,8295;5,2269
"PEYPIN D'AIGUES";0;0;0;1;"Non";"0";"84240";"PEYPIN D'AIGUES";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"80";43,7331;5,4656
"CABRIERES D'AIGUES";0;0;0;1;"Non";"Rue du temple";"84240";"CABRIERES D'AIGUES";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"85";43,7331;5,4656
"OPPEDE";0;0;0;1;"Non";"Mairie d’Oppede";"84580";"OPPEDE";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"120";43,8306;5,169
"VOLX";0;0;0;1;"Non";"Boulevard Léon Blum";"4130";"VOLX";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"LES DEUX";"2";"250";43,8756;5,8295
"GRAMBOIS";0;0;0;1;"Non";"101 chemin de Barraban";"84240";"GRAMBOIS";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"115";43,7681;5,6008
"CAISSE DES ECOLES";0;0;0;1;"Non";"34 AVENUE DU 24 AOUT 1944";"16440";"MOUTHIERS SUR BOEME";"NOUVELLE AQUITAINE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"240";45,5499;0,0501
"CADENET";0;0;0;1;"Non";"Boulevard de la Liberté";"84160";"CADENET";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"390";43,7341;5,3873
"MERINDOL";0;0;0;1;"Non";"Rue des anciens combattants";"84360";"MERINDOL";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"LES DEUX";"4";"210";43,763;5,1944
"MURS";0;0;0;1;"Non";"0";"84220";"MURS";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"19";46,9286;1,1697
"GRIMAUD";0;0;0;1;"Non";"Rue de la mairie";"83310";"Grimaud";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DEL";"SUR PLACE";"6";"890";43,274;6,5097
"CABRIERES D'AVIGNON";0;0;0;1;"Non";"145 Chemin des écoles";"84220";"Cabrières d'Avignon";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"55";43,8615;5,2037
"GARGAS";0;0;0;1;"Non";"Le chateau";"84400";"GARGAS";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"340";43,7574;1,4575
"ANSOUIS";0;0;0;1;"Non";"Route de la bonde";"84240";"ANSOUIS";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"85";43,7331;5,4656
"SAINTE-TULLE";0;0;0;1;"Non";"26 Avenue Gracchus Babeuf";"4220";"Sainte-Tulle";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"LES DEUX";"5";"345";43,7866;5,7592
"SAIGNON";0;0;0;1;"Non";"7 route de Castellet";"84400";"SAIGNON";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"75";43,8566;5,4432
"ROBION";0;0;0;1;"Non";"Avenue de la Gare";"84440";"Robion";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"380";43,8497;5,1081
"VILLEURBANNE";0;0;0;1;"Non";"Place Lazare Goujon";"69100";"Villeurbanne";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"68";"8100";45,7707;4,8902
"CLERMONT-FERRAND";0;0;0;1;"Non";"Mail d'Allagnat";"63000";"Clermont-Ferrand";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"CENTRALE";"66";"6200";45,7825;3,1074
"MEGEVE";0;0;0;1;"Non";"34 ROUTE DE ROCHEBRUNE";"74120";"megeve";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"8";"990";45,833;6,6316
"Pep Alsace - Centre de vacances";0;0;0;1;"Non";"RUE BLAISE PASCAL";"68000";"COLMAR";"GRAND-EST";"Cuisine centrale";"Non";"Entre 500 et 3000 repas/jour";"MIX";"CENTRALE";"28";"1912";48,1203;7,3936
"Association Agropoint Saveurs du Tarn";0;1;0;0;"Non";"Avenue Hoche";"81000";"ALBI";"OCCITANIE";"Centrale d'achats ou plateforme";"Non";"NC";"LES DEUX";"LES DEUX";"NC";"NC";43,9173;2,1448
"Acceuil Péri-scolaire - La Courte Échelle";0;1;0;0;"Non";"1, Place des Écoles";"68370";"ORBEY";"GRAND-EST";"Centre de vacances";"Non";"NC";"DEL";"SUR PLACE";"NC";"NC";48,1082;7,1488
"Centre de vacances Clos Florine";0;1;0;0;"Non";"3252 route moussière d'en haut";"74430";"Saint Jean d'Aulps";"AUVERGNE-RHONE-ALPES";"Centre de vacances";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";46,2872;6,615
"Centre de vacances La Grande Ourse";0;1;0;0;"Non";"60 route de la vallettaz d'en haut";"74430";"st jean d'aulps";"AUVERGNE-RHONE-ALPES";"Centre de vacances";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";46,2872;6,615
"CNFPT";0;1;0;0;"Oui";"rue de reuilly";"75";"Paris";"ILE DE FRANCE";"Entreprises & administrations";"Non";"NC";"LES DEUX";"LES DEUX";"NC";"NC";43,8072;1,8315
"Collège Albert Camus";0;1;0;0;"Non";"1 rue sous la leye";"57160";"MOULINS-LES-METZ";"GRAND-EST";"Collèges";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";49,0971;6,1106
"Collège de l'Eyrieux";0;1;0;0;"Non";"390 route de l'ancienne gare";"7190";"Saint Sauveur de Montagut";"AUVERGNE-RHONE-ALPES";"Collèges";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";44,8184;4,4193
"Collège La Chènevière des Arbres";0;1;0;0;"Non";"10 rue du Collège";"89160";"ANCY LE FRANC";"BOURGOGNE-FRANCHE-COMTE";"Collèges";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,7785;4,1693
"Collège Maurice Clavel";0;1;0;0;"Non";"rue des écoles";"89200";"avallon";"BOURGOGNE-FRANCHE-COMTE";"Collèges";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";47,48;3,9184
"CC ROUSSILLON CONFLENT";0;1;0;0;"Non";"1 Rue Michel Blanc BP 05";"66130";"ILLE SUR TET";"OCCITANIE";"Cuisine centrale";"Oui";"NC";"DIR";"CENTRALE";"NC";"NC";42,5912;2,5961
"SAINTE EULALIE EN ROYANS";0;1;0;0;"Non";"20 Route de l'Eglise";"26190";"commune de sainte eulalie en royans";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";44,9285;5,2902
"CD LANDES";0;1;0;0;"Non";"rue Victor Hugo";"40000";"Mont de Marsan";"NOUVELLE AQUITAINE";"Collèges";"Oui";"NC";"DIR";"SUR PLACE";"NC";"NC";43,8925;-0,4844
"Centre de vacances Pierrot et Colombine";0;1;0;0;"Non";"7 RUE DUSSAUSSOY";"69006";"LYON";"AUVERGNE-RHONE-ALPES";"Centre de vacances";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,7685;4,8236
"Centre de vacances Oursons et Compagnie";0;1;0;0;"Non";"230 Rue de Créqui";"69003";"LYON";"AUVERGNE-RHONE-ALPES";"Centre de vacances";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,7685;4,8236
"Centre de loisirs Ethic Etapes CIS Valcenis";0;1;0;0;"Non";"chemin des Crueux";"73480";"Lanslebourg";"AUVERGNE-RHONE-ALPES";"Centre de vacances";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,2867;7,0469
"Foyers de l'enfance Rhône Alpes";0;1;0;0;"Non";"115 AVENUE LACASSAGNE";"69003";"LYON";"AUVERGNE-RHONE-ALPES";"Foyers de l'enfance";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";45,7685;4,8236
"AVIGNON";0;1;0;0;"Non";"Avenue Pierre SEMARD (M.I.N d' Avignon, Bâtiment M2)";"84000";"AVIGNON";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"NC";"DIR";"CENTRALE";"NC";"NC";43,946;4,8465
"Lycée Pierre Corneille";0;1;0;0;"Non";"4 RUE DU MAULEVRIER";"76000";"ROUEN";"NORMANDIE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";49,4432;1,0984
"Lycée Lucie Aubrac";0;1;0;0;"Non";"224 avenue ernest lafont";"84500";"bollene";"PROVENCE-ALPES-COTE-D'AZUR";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";44,2896;4,7442
"Lycée Professionnel Toussaint Louverture";0;1;0;0;"Non";"81 rue de besançon";"25300";"PONTARLIER";"BOURGOGNE-FRANCHE-COMTE";"Lycées";"Non";"NC";"DIR";"SUR PLACE";"NC";"NC";46,9147;6,3895
"CHAMALIERES";0;1;0;0;"Non";"1 place claude Wolff";"63400";"CHAMALIERES";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";45,7746;3,0577
"MOISSY-CRAMAYEL";0;1;0;0;"Non";"PLACE DU SOUVENIR";"77550";"MOISSY-CRAMAYEL";"ILE DE FRANCE";"Cuisine centrale";"Oui";"NC";"DIR";"CENTRALE";"NC";"NC";48,6239;2,5909
"SAINT-ETIENNE-DU-VALDONNEZ";0;1;0;0;"Non";"Place de la mairie";"48000";"Saint Etienne du Valdonnez";"OCCITANIE";"Ecoles";"Oui";"NC";"MIX";"SUR PLACE";"NC";"NC";44,5425;3,5544
"PAYS HAUT LANGUEDOC ET VIGNOBLES";0;1;0;0;"Non";"1 Rue de la voie ferrée";"34360";"Saint Chinian";"OCCITANIE";"Ecoles";"Oui";"NC";"NC";"NC";"NC";"NC";43,3963;2,8791
"QUETIGNY";0;1;0;0;"Non";"Mairie";"21800";"QUETIGNY";"BOURGOGNE-FRANCHE-COMTE";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";47,3186;5,1151
"Collège de Coutach";0;0;0;1;"Non";"296 AVENUE DU MARECHAL JUIN";"30260";"QUISSAC";"OCCITANIE";"Collèges";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"400";43,9193;3,9902
"BREST";0;0;0;1;"Non";"2, rue Frézier";"29200";"BREST";"BRETAGNE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DEL";"CENTRALE";"69";"5510";48,4059;-4,5058
"CAUNES MINERVOIS";0;0;0;1;"Non";"Place de la mairie";"11160";"CAUNES MINERVOIS";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"LES DEUX";"LES DEUX";"3";"180";43,3803;2,4749
"NOUGAROULET";0;0;0;1;"Oui";"0";"32270";"nougaroulet";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"51";43,6884;0,719
"Centre de loisirs Ethic Etapes Le Cart";0;0;0;1;"Non";"31 rue emilien Dumas";"30250";"Sommières";"OCCITANIE";"Centre de vacances";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"150";43,8042;4,0349
"Lycée Gilbert Martin";0;0;0;1;"Non";"3 RUE PIERRE CORNEILLE";"27110";"LE NEUBOURG";"NORMANDIE";"Lycées";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"180";49,1156;1,0607
"Crèche Pom Flore et Alexandre";0;0;0;1;"Oui";"29 rue des Arts et métiers";"38000";"Grenoble";"AUVERGNE-RHONE-ALPES";"Crèches";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"50";45,1825;5,7301
"REILLANNE";0;0;0;1;"Non";"0";"4110";"Reillanne";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"142";43,8823;5,6562
"Crèches Croc La vie";0;0;0;1;"Non";"6  rue jacques messager";"59175";"Templemars";"HAUTS-DE-FRANCE";"Cuisine centrale";"Non";"Entre 500 et 3000 repas/jour";"DEL";"CENTRALE";"120";"2500";50,5705;3,0608
"SAINT-GERMAIN-LAPRADE";0;0;0;1;"Non";"0";"43700";"Saint Germain Laprade";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"14";"304";44,9935;3,9542
"BRUZ";0;0;0;1;"Non";"Place du Dr Joly";"35170";"Bruz";"BRETAGNE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"5";"1450";48,0242;-1,7465
"LOUVIERS - Régie Les 2 Airelles";0;0;0;1;"Non";"Ecoparc 1 8 allÈe des marronniers";"27400";"LOUVIERS";"NORMANDIE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"18";"1360";49,2261;1,1471
"LANGOGNE";0;0;0;1;"Non";"BD DES CAPUCINS";"48300 LANGOGNE";"COMMUNE DE LANGOGNE";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"110";NA;NA
"FONTENAY-SOUS-BOIS";0;0;0;1;"Non";"44 bis rue La Fontaine";"94120";"Fontenay sous Bois";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"LES DEUX";"37";"5270";48,8513;2,4739
"CA DE BAYEUX";0;0;0;1;"Non";"4 place Gauquelin Despalières";"14400";"BAYEUX";"NORMANDIE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"LES DEUX";"1";"1320";49,2765;-0,7018
"SAINT-LOUBES";0;0;0;1;"Non";"39 rue du Stade";"33450";"SAINT-LOUBES";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"10";"1410";44,9182;-0,4322
"Adsea 05";0;0;0;1;"Non";"72 route des eyssagnieres";"5000";"Gap";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Non";"Moins de 500 repas/jour";"DIR";"CENTRALE";"14";"390";44,572;6,0628
"CC VAL DE DRÔME";0;0;0;1;"Non";"96 ronde des alisisers - Ecosite";"26400";"Eurre";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"LES DEUX";"LES DEUX";"46";"1915";44,765;4,9763
"PERTUIS";0;0;0;1;"Non";"0";"84120";"Pertuis";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"9";"1380";43,6985;5,5193
"LÉVIGNAC";0;0;0;1;"Non";"1 place de la mairie";"31530";"Lévignac";"OCCITANIE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"2";"210";43,6781;1,0968
"CD FINISTÈRE";0;0;0;1;"Non";"32, Boulevard Dupleix";"29000";"QUIMPER";"BRETAGNE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"LES DEUX";"SUR PLACE";"53";"17887";47,9914;-4,0916
"PARAY-VIEILLE-POSTE";0;0;0;1;"Non";"Place henri Barbusse";"91550";"paray-vieille-poste";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"MIX";"CENTRALE";"12";"1144";48,7234;2,3569
"CC DU TRIÈVES";0;0;0;1;"Non";"0";"0";"Communauté de communes du Trièves";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"6";"270";NA;NA
"MARCHIN";0;0;0;1;"Non";"rue du Parc, 5";"B 4570";"Vyle-et-Tharoul";"Belgique";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"10";"150";NA;NA
"PLABENNEC";0;0;0;1;"Non";"avenue de Kerveguen";"29860 Plabennec";"Mairie de Plabennec";"BRETAGNE";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"3";"505";NA;NA
